Sold Price,Beds,Baths,Floors,Garage Spaces,Lot Size (sq ft),Home Size (sq ft),Year Built,School Score Avg,Walk Score,Transit Score,Bike Score,Laundry,Heating,Air Conditioning,Pool,Address,City,County,Zip Code,Property Type,Sold Status,URL
2850000,3,1.5,1,0,5702.004,1499,1953,7.666666666666667,73,37,81,True,True,True,False,216 WALNUT ST,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/216-Walnut-St-94025/home/2014953
2900000,3,3.0,1,1,3781.0080000000003,1555,1935,7.666666666666667,74,37,81,False,True,True,False,626 CENTRAL AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/626-Central-Ave-94025/home/2014955
2402000,3,2.0,1,0,6298.776,1300,1941,nan,61,19,80,True,True,False,True,2068 SAND HILL RD,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/2068-Sand-Hill-Rd-94025/home/2020416
4489000,4,2.5,1,2,12575.772,2400,1962,nan,56,18,53,True,True,False,True,2307 WARNER RANGE AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/2307-Warner-Range-Ave-94025/home/2020428
5000000,4,3.5,2,1,21300.84,3945,1965,7.666666666666667,nan,nan,nan,False,True,True,True,956 MENLO OAKS DR,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/956-Menlo-Oaks-Dr-94025/home/2024870
2800000,3,2.0,1,2,10807.235999999999,1550,1996,nan,63,37,76,True,True,False,True,379 OCONNOR ST,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/379-O-Connor-St-94025/home/2029953
3000000,3,2.0,1,2,6799.715999999999,1618,1949,7.666666666666667,54,41,86,True,True,False,False,316 TRENTON WAY,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Menlo-Park/316-Trenton-Way-94025/home/2032288
1888888,2,1.0,1,0,6799.715999999999,1120,1950,7.666666666666667,67,37,79,True,False,False,True,101 GREEN ST,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY RESIDENCE,nan,https://www.redfin.com/CA/Menlo-Park/101-Green-St-94025/home/2034478
1600000,4,2.5,2,0,4965.84,1800,1987,nan,nan,nan,nan,True,True,False,True,308 DONOHOE ST,EAST PALO ALTO,SAN MATEO COUNTY,94303,SINGLE FAMILY RESIDENTIAL,nan,https://www.redfin.com/CA/East-Palo-Alto/308-Donohoe-St-94303/home/2037625
2170000,4,2.0,2,1,5776.056,1670,1949,nan,nan,nan,nan,True,True,False,True,884 15TH AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/884-Fifteenth-Ave-94025/home/2039251
6080000,4,3.5,2,2,13098.492,5090,2005,7.666666666666667,nan,nan,nan,True,True,False,False,50 WALNUT AVE,ATHERTON,SAN MATEO COUNTY,94027,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/Atherton/50-Walnut-Ave-94027/home/2044549
1420000,3,2.0,1,2,6873.768,1150,1956,3.25,54,37,60,True,True,True,True,8 KIRKWOOD CT,EAST PALO ALTO,SAN MATEO COUNTY,94303,SINGLE FAMILY HOME,Sold,https://www.redfin.com/CA/East-Palo-Alto/8-Kirkwood-Ct-94303/home/2046682
3251000,3,2.0,1,1,5898.023999999999,1796,1952,7.666666666666667,26,32,75,True,True,False,True,1072 TEHAMA AVE,MENLO PARK,SAN MATEO COUNTY,94025,SINGLE FAMILY HOME,nan,https://www.redfin.com/CA/Menlo-Park/1072-Tehama-Ave-94025/home/2047730
